date,station id,crowd number
2023-03,桃園,657083
2023-03,新竹,556803
2023-03,苗栗,85674
2023-03,台中,1026485
2023-03,彰化,63862
2023-03,雲林,121650
2023-03,嘉義,235418
2023-03,台南,384325
2023-03,左營,794452
2023-02,南港,248860
2023-02,台北,1211519
2023-02,板橋,397802
2023-02,桃園,614683
2023-02,新竹,509551
2023-02,苗栗,84983
2023-02,台中,925315
2023-02,彰化,61845
2023-02,雲林,115545
2023-02,嘉義,219099
2023-02,台南,371953
2023-02,左營,736208
2023-01,南港,279201
2023-01,台北,1271570
2023-01,板橋,467038
2023-01,桃園,673177
2023-01,新竹,499700
2023-01,苗栗,93063
2023-01,台中,992068
2023-01,彰化,79943
2023-01,雲林,144326
2023-01,嘉義,276297
2023-01,台南,425754
2023-01,左營,887737
2022-12,南港,287168
2022-12,台北,1397934
2022-12,板橋,494881
2022-12,桃園,693605
2022-12,新竹,574115
2022-12,苗栗,88382
2022-12,台中,1040190
2022-12,彰化,63009
2022-12,雲林,120447
2022-12,嘉義,232956
2022-12,台南,414225
2022-12,左營,807560
2022-11,南港,252527
2022-11,台北,1215750
2022-11,板橋,417892
2022-11,桃園,585561
2022-11,新竹,518283
2022-11,苗栗,81333
2022-11,台中,925928
2022-11,彰化,61028
2022-11,雲林,117492
2022-11,嘉義,218861
2022-11,台南,370713
2022-11,左營,737312
2022-10,南港,244809
2022-10,台北,1183836
2022-10,板橋,403569
2022-10,桃園,546628
2022-10,新竹,492227
2022-10,苗栗,79014
2022-10,台中,908612
2022-10,彰化,59869
2022-10,雲林,114707
2022-10,嘉義,225804
2022-10,台南,371199
2022-10,左營,752863
2022-09,南港,239684
2022-09,台北,1089434
2022-09,板橋,373790
2022-09,桃園,484598
2022-09,新竹,465624
2022-09,苗栗,71934
2022-09,台中,823539
2022-09,彰化,56453
2022-09,雲林,106783
2022-09,嘉義,201523
2022-09,台南,342990
2022-09,左營,690730
2022-08,南港,226062
2022-08,台北,1119292
2022-08,板橋,374433
2022-08,桃園,505661
2022-08,新竹,468350
2022-08,苗栗,70000
2022-08,台中,822490
2022-08,彰化,52660
2022-08,雲林,100774
2022-08,嘉義,200144
2022-08,台南,341529
2022-08,左營,689254
2022-07,南港,196854
2022-07,台北,995101
2022-07,板橋,345368
2022-07,桃園,458628
2022-07,新竹,423579
2022-07,苗栗,63837
2022-07,台中,724195
2022-07,彰化,47126
2022-07,雲林,90019
2022-07,嘉義,179594
2022-07,台南,303855
2022-07,左營,603420
2022-06,南港,141938
2022-06,台北,695037
2022-06,板橋,247896
2022-06,桃園,334467
2022-06,新竹,306633
2022-06,苗栗,45294
2022-06,台中,505252
2022-06,彰化,33833
2022-06,雲林,66205
2022-06,嘉義,125284
2022-06,台南,211652
2022-06,左營,420037
2022-05,南港,110668
2022-05,台北,565444
2022-05,板橋,201995
2022-05,桃園,275123
2022-05,新竹,255666
2022-05,苗栗,40945
2022-05,台中,439786
2022-05,彰化,31183
2022-05,雲林,60401
2022-05,嘉義,111320
2022-05,台南,182506
2022-05,左營,368041
2022-04,南港,189904
2022-04,台北,881452
2022-04,板橋,310603
2022-04,桃園,378798
2022-04,新竹,362470
2022-04,苗栗,59057
2022-04,台中,649749
2022-04,彰化,47333
2022-04,雲林,90217
2022-04,嘉義,176272
2022-04,台南,279599
2022-04,左營,551004
2022-03,南港,216974
2022-03,台北,1104665
2022-03,板橋,366704
2022-03,桃園,456119
2022-03,新竹,468152
2022-03,苗栗,70982
2022-03,台中,816608
2022-03,彰化,53458
2022-03,雲林,102813
2022-03,嘉義,198753
2022-03,台南,337972
2022-03,左營,644282
2022-02,南港,173232
2022-02,台北,802282
2022-02,板橋,293149
2022-02,桃園,336460
2022-02,新竹,337706
2022-02,苗栗,65755
2022-02,台中,683942
2022-02,彰化,57916
2022-02,雲林,106931
2022-02,嘉義,206946
2022-02,台南,291768
2022-02,左營,616983
2022-01,南港,199319
2022-01,台北,994937
2022-01,板橋,346066
2022-01,桃園,374255
2022-01,新竹,390804
2022-01,苗栗,59605
2022-01,台中,687079
2022-01,彰化,42490
2022-01,雲林,82340
2022-01,嘉義,155633
2022-01,台南,266983
2022-01,左營,549285
